[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000638,sysId=90110202,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000639,sysId=90110203,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000640,sysId=90110204,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000641,sysId=90110205,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000642,sysId=90110206,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000643,sysId=90110207,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000644,sysId=90110208,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000645,sysId=90110209,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000646,sysId=90110210,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
[2015-11-16-15-04-55],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000647,sysId=90112201,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657495
[2015-11-16-15-04-55],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000648,sysId=90110202,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657495
[2015-11-16-15-04-55],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000649,sysId=90110203,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657495
[2015-11-16-15-04-55],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000650,sysId=90110204,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657495
[2015-11-16-15-04-55],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000651,sysId=90110205,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657495
[2015-11-16-15-04-56],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000652,sysId=90110206,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657496
[2015-11-16-15-04-56],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000653,sysId=90110207,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657496
[2015-11-16-15-04-56],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000654,sysId=90110208,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657496
[2015-11-16-15-04-56],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000655,sysId=90110209,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657496
[2015-11-16-15-04-56],B_FlowEquip,hid=1000100000000114,gid=51000037,equipId=1000100000000656,sysId=90110210,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657496
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000657,sysId=90112201,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000658,sysId=90110202,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000659,sysId=90110203,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000660,sysId=90110204,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000661,sysId=90110205,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000662,sysId=90110206,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000663,sysId=90110207,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000664,sysId=90110208,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000665,sysId=90110209,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
[2015-11-16-15-04-57],B_FlowEquip,hid=1000100000000114,gid=51000036,equipId=1000100000000666,sysId=90110210,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657497
