2022-09-19 11:00:00.094 [任务线程 - 63] INFO  com.teamtop.system.crossBoss.cross.CrossBossCrossEvent - CrossBossCrossEvent.fixTime cmdId:2 time:2022-09-19_11-00-00s
2022-09-19 11:00:00.111 [任务线程 - 63] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossBoss.cross.CrossBossCrossEvent@280e8a1a,now:1663556400,dayTime:1100
2022-09-19 11:00:00.112 [任务线程 - 63] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossTeamKing.cross.CrossTeamKingCrossEvent@1b7cae6f,now:1663556400,dayTime:1100
2022-09-19 11:00:00.112 [crossChannelEx - 5] INFO  com.teamtop.system.crossBoss.CrossBossIO - local tell cross state:2  1
2022-09-19 11:00:05.135 [crossChannelEx - 3] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-19 11:00:25.286 [crossChannelEx - 2] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-19 11:00:45.436 [crossChannelEx - 1] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-19 11:00:55.967 [任务线程 - 53] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-19 11:01:00.102 [任务线程 - 59] INFO  com.teamtop.system.event.backstage.BackstageSystemEvent - 60m event:com.teamtop.system.event.backstage.events.flowMMCache.FlowMMCacheEvent@2ad33b63,now:1663556460
2022-09-19 11:01:05.592 [crossChannelEx - 8] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-19 11:01:25.754 [crossChannelEx - 6] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-19 11:01:45.932 [crossChannelEx - 4] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
