2022-09-18 22:03:04.285 [crossChannelEx - 6] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:03:24.446 [crossChannelEx - 4] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:03:44.615 [crossChannelEx - 5] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:03:45.159 [任务线程 - 8] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:04:04.749 [crossChannelEx - 7] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:04:24.899 [crossChannelEx - 3] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:04:45.079 [crossChannelEx - 2] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:04:45.171 [任务线程 - 7] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:05:05.207 [crossChannelEx - 1] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:05:25.369 [crossChannelEx - 8] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:05:45.195 [任务线程 - 29] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:05:45.528 [crossChannelEx - 6] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:06:05.710 [crossChannelEx - 4] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:06:25.849 [crossChannelEx - 5] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:06:45.216 [任务线程 - 26] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:06:46.021 [crossChannelEx - 7] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:07:06.184 [crossChannelEx - 3] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:07:26.342 [crossChannelEx - 2] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:07:45.226 [任务线程 - 9] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:07:46.483 [crossChannelEx - 1] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:08:06.650 [crossChannelEx - 8] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:08:26.816 [crossChannelEx - 6] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:08:45.233 [任务线程 - 48] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:08:46.984 [crossChannelEx - 4] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:09:07.143 [crossChannelEx - 5] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:09:27.289 [crossChannelEx - 7] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:09:45.240 [任务线程 - 53] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:09:47.433 [crossChannelEx - 3] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:10:07.600 [crossChannelEx - 2] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:10:27.752 [crossChannelEx - 1] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:10:45.335 [任务线程 - 43] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:10:48.010 [crossChannelEx - 8] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:11:08.168 [crossChannelEx - 6] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:11:28.341 [crossChannelEx - 4] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:11:45.354 [任务线程 - 61] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:11:48.487 [crossChannelEx - 5] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:12:08.647 [crossChannelEx - 7] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:12:28.809 [crossChannelEx - 3] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:12:45.368 [任务线程 - 29] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:12:48.974 [crossChannelEx - 2] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:13:09.113 [crossChannelEx - 1] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:13:29.282 [crossChannelEx - 8] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:13:45.382 [任务线程 - 56] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:13:49.441 [crossChannelEx - 6] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:14:09.586 [crossChannelEx - 4] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:14:29.743 [crossChannelEx - 5] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:14:45.398 [任务线程 - 29] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 22:14:49.900 [crossChannelEx - 7] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:15:10.063 [crossChannelEx - 3] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
2022-09-18 22:15:30.214 [crossChannelEx - 2] INFO  com.teamtop.system.crossTeamKing.CrossTeamKingIO - LRCrank success 
