2022-09-18 20:15:43.220 [任务线程 - 3] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:16:43.276 [任务线程 - 57] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:17:43.301 [任务线程 - 33] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:18:43.310 [任务线程 - 44] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:19:43.333 [任务线程 - 41] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:20:00.693 [任务线程 - 19] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossFireBeacon.CrossFireBeaconSysEvent@4135c3b,now:1663503600,dayTime:2020
2022-09-18 20:20:00.694 [任务线程 - 19] INFO  com.teamtop.system.crossWenDingTianXia.cross.CrossWenDingTianXiaCrossEvent - WDTX.FixTime bigan.cmd:5
2022-09-18 20:20:00.695 [任务线程 - 38] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossFireBeacon.CrossFireBeaconSysEvent@6302bbb1,now:1663503600,dayTime:2020
2022-09-18 20:20:00.701 [任务线程 - 19] INFO  com.teamtop.system.crossWenDingTianXia.cross.CrossWenDingTianXiaCrossFunction - WDTX.Send room awards.roomID:1
2022-09-18 20:20:00.706 [任务线程 - 19] INFO  com.teamtop.system.crossWenDingTianXia.cross.CrossWenDingTianXiaCrossFunction - WDTX.RankAwards.rankList size:0
2022-09-18 20:20:00.711 [任务线程 - 19] INFO  com.teamtop.system.crossWenDingTianXia.cross.CrossWenDingTianXiaCrossEvent - WDTX.FixTime.cmd:5
2022-09-18 20:20:00.728 [任务线程 - 19] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossWenDingTianXia.cross.CrossWenDingTianXiaCrossEvent@41b0ae4c,now:1663503600,dayTime:2020
2022-09-18 20:20:00.731 [任务线程 - 19] INFO  com.teamtop.system.crossSelectKing.cross.CrossSelectKingCrossFunction - activityOper type:4 success,proFlag:0 proState:0
2022-09-18 20:20:00.739 [crossChannelEx - 3] INFO  com.teamtop.system.crossWenDingTianXia.cross.CrossWenDingTianXiaIO - CrossWenDingTianXiaIO sendBeginTimeAndStarCL state=2, time=0
2022-09-18 20:20:00.757 [任务线程 - 19] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - week event:com.teamtop.system.crossSelectKing.cross.CrossSelectKingCrossEvent@74abbb,now:1663503600,dayTime:2020
2022-09-18 20:20:43.347 [任务线程 - 10] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:21:43.368 [任务线程 - 46] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:22:43.380 [任务线程 - 35] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:23:43.445 [任务线程 - 10] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:24:43.490 [任务线程 - 41] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:25:43.529 [任务线程 - 34] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:26:43.564 [任务线程 - 35] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:27:43.588 [任务线程 - 19] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:28:00.496 [任务线程 - 29] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - week event:com.teamtop.system.crossDynastyWarriors.DynastyWarriorsSysEvent@6aeb35e6,now:1663504080,dayTime:2028
2022-09-18 20:28:00.571 [任务线程 - 9] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - week event:com.teamtop.system.crossDynastyWarriors.DynastyWarriorsSysEvent@1283bb96,now:1663504080,dayTime:2028
2022-09-18 20:28:43.602 [任务线程 - 45] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:29:00.976 [任务线程 - 41] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - week event:com.teamtop.system.crossDynastyWarriors.cross.CrossDynastyWarriorsSysEvent@4cb0a000,now:1663504140,dayTime:2029
2022-09-18 20:29:43.615 [任务线程 - 20] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2022-09-18 20:30:00.465 [任务线程 - 62] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossSoloRun.SoloRunSysEvent@42a48628,now:1663504200,dayTime:2030
2022-09-18 20:30:00.469 [任务线程 - 62] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossFireBeacon.FrieBeaconLocalSysEvent@4562e04d,now:1663504200,dayTime:2030
2022-09-18 20:30:00.473 [任务线程 - 62] INFO  com.teamtop.system.house.yanhui.event.YanhuiEvent - YanhuiEvent.fixTime cmdId:2 time:2022-09-18_20-30-00s
2022-09-18 20:30:00.473 [任务线程 - 62] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.house.yanhui.event.YanhuiEvent@71e9ddb4,now:1663504200,dayTime:2030
2022-09-18 20:30:00.492 [任务线程 - 62] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - week event:com.teamtop.system.crossDynastyWarriors.cross.CrossDynastyWarriorsSysEvent@4cb0a000,now:1663504200,dayTime:2030
2022-09-18 20:30:00.579 [任务线程 - 38] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossSoloRun.SoloRunSysEvent@293a5bf6,now:1663504200,dayTime:2030
2022-09-18 20:30:00.582 [任务线程 - 38] INFO  com.teamtop.util.exector.schedule.ScheduleFixtime - day event:com.teamtop.system.crossFireBeacon.FrieBeaconLocalSysEvent@2a65fe7c,now:1663504200,dayTime:2030
