2020-11-04 21:30:00.762 [任务线程 - 3] WARN  com.teamtop.system.boss.monsterGod.MonsterGodFunction - monsterGodCache==null
2020-11-04 21:50:00.310 [任务线程 - 14] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 21:50:00.310 [任务线程 - 14] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 21:50:00.310 [任务线程 - 14] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 21:50:00.310 [任务线程 - 14] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 21:50:00.310 [任务线程 - 14] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 21:04:56.585 [OpTaskExecutorService-thread-1] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-04 21:04:56.601 [OpTaskExecutorService-thread-1] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-04 21:04:56.601 [OpTaskExecutorService-thread-1] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-04 21:04:56.601 [OpTaskExecutorService-thread-1] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-04 21:04:56.601 [OpTaskExecutorService-thread-1] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-04 21:04:56.601 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-04 21:04:57.539 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-04 21:04:57.587 [OpTaskExecutorService-thread-1] WARN  com.teamtop.system.boss.countryBoss.CountryBossManager - hero.getCountryType()==0 hid:1000100000000012
2020-11-04 21:04:57.587 [OpTaskExecutorService-thread-1] WARN  com.teamtop.system.zcBoss.ZcBossHeroManager - JoinersMap().containsKey(hero.getId()) hid:1000100000000012
2020-11-04 21:04:57.587 [OpTaskExecutorService-thread-1] WARN  com.teamtop.system.countrySkill.CountrySkillManager - hid1000100000000012 name:逆天灬墨染openUI countryType=0
2020-11-04 21:08:56.063 [nioEventLoopGroup-11-2] WARN  com.teamtop.system.zcBoss.ZcBossHeroManager - JoinersMap().containsKey(hero.getId()) hid:1000100000000012
