2020-11-04 12:30:00.880 [任务线程 - 13] WARN  com.teamtop.system.boss.monsterGod.MonsterGodFunction - monsterGodCache==null
2020-11-04 12:50:00.427 [任务线程 - 10] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:50:00.427 [任务线程 - 10] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:50:00.427 [任务线程 - 10] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:50:00.427 [任务线程 - 10] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:50:00.427 [任务线程 - 10] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:51:37.759 [任务线程 - 13] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:51:37.759 [任务线程 - 13] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:51:37.759 [任务线程 - 13] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:51:37.759 [任务线程 - 13] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
2020-11-04 12:51:37.759 [任务线程 - 13] WARN  com.teamtop.system.crossBoss.CrossBossFunction - countryRankList==null
