2020-11-11 00:02:13.824 [crossChannelEx - 4] WARN  com.teamtop.system.crossKing.local.CrossKingLocalFunction - 最强王者：活动结束
2020-11-11 00:07:40.737 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:40.737 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:40.737 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:40.737 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:40.737 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:40.753 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:41.018 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:41.018 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:41.018 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:41.018 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:41.034 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:41.236 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-11 00:07:41.236 [任务线程 - 13] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
