2021-08-21 16:06:55.340 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - com.teamtop.houtaiHttp.events.trueNameAndAntiAddiction.TrueNameAndAntiAddictionCache
2021-08-21 16:06:55.340 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - init complete:TrueNameAndAntiAddictionCache,time:1 ms
2021-08-21 16:06:55.341 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache
2021-08-21 16:06:55.348 [main] INFO  com.teamtop.houtaiHttp.events.kuaFuFenQu.KuaFuFenQuCache - KuaFuFenQuCache size=1
2021-08-21 16:06:55.348 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - init complete:KuaFuFenQuCache,time:8 ms
2021-08-21 16:06:55.349 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - com.teamtop.cross.CrossPartCache
2021-08-21 16:06:55.547 [main] INFO  com.teamtop.cross.CrossPartCache - crossPartCache partMap size=26
2021-08-21 16:06:55.548 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - init complete:CrossPartCache,time:200 ms
2021-08-21 16:06:55.549 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - com.teamtop.houtaiHttp.qqGift.QqGiftHttpServer
2021-08-21 16:06:55.554 [main] INFO  com.teamtop.houtaiHttp.qqGift.QqGiftHttpServer - server start
2021-08-21 16:06:55.555 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - init complete:QqGiftHttpServer,time:7 ms
2021-08-21 16:06:55.558 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - com.teamtop.system.exclusiveActivity.ExclusiveActivitySysCache
2021-08-21 16:06:55.730 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - init complete:ExclusiveActivitySysCache,time:174 ms
2021-08-21 16:06:55.731 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - com.teamtop.houtaiHttp.events.ipWhiteList.IpWhiteListCache
2021-08-21 16:06:55.731 [main] INFO  com.teamtop.system.event.serverEvent.ServerEventFunction - init complete:IpWhiteListCache,time:1 ms
